variable_name;pressure;temperature;wind_speed;roughness_length;temperature;wind_speed
height;150;150;10;0;10;80
2010-01-01 00:00:00+01:00;98405.7;267.6;66.998;0.15;267.57;69.4
2010-01-01 00:00:01+01:00;98382.7;267.6;66.84723618;0.15;267.55;69.24723618
2010-01-01 00:00:02+01:00;98362.9;267.61;66.17447236;0.15;267.54;69.09447236
2010-01-01 00:00:03+01:00;98340.9;267.63;66.73170854;0.15;267.56;68.94170854
2010-01-01 00:00:04+01:00;98336.8;267.63;66.59894472;0.15;267.61;68.78894472
2010-01-01 00:00:05+01:00;98334.2;267.61;66.4061809;0.15;267.55;68.6361809
2010-01-01 00:00:06+01:00;98324.6;267.55;66.18341709;0.15;267.52;68.48341709
2010-01-01 00:00:07+01:00;98345.1;267.51;65.60065327;0.15;267.46;68.33065327
2010-01-01 00:00:08+01:00;98394.9;267.48;65.93788945;0.15;267.45;68.17788945
2010-01-01 00:00:09+01:00;98446.6;267.67;65.85512563;0.15;267.6;68.02512563
2010-01-01 00:00:10+01:00;98486;267.95;65.31236181;0.15;267.88;67.87236181
2010-01-01 00:00:11+01:00;98568;268.27;65.27959799;0.15;268.19;67.71959799
2010-01-01 00:00:12+01:00;98609.2;268.49;65.12683417;0.15;268.46;67.56683417
2010-01-01 00:00:13+01:00;98716.8;268.61;64.96407035;0.15;268.53;67.41407035
2010-01-01 00:00:14+01:00;98834.5;268.56;64.44130653;0.15;268.48;67.26130653
2010-01-01 00:00:15+01:00;98911.4;268.38;64.22854271;0.15;268.35;67.10854271
2010-01-01 00:00:16+01:00;98999;268.22;63.82577889;0.15;268.15;66.95577889
2010-01-01 00:00:17+01:00;99083;268.11;64.46301508;0.15;268.07;66.80301508
2010-01-01 00:00:18+01:00;99166.6;267.98;64.24025126;0.15;267.9;66.65025126
2010-01-01 00:00:19+01:00;99249.6;267.8;64.14748744;0.15;267.75;66.49748744
2010-01-01 00:00:20+01:00;99299.1;267.44;64.00472362;0.15;267.38;66.34472362
2010-01-01 00:00:21+01:00;99355;266.96;63.9519598;0.15;266.92;66.1919598
