variable_name,pressure,temperature,wind_speed,roughness_length,temperature,wind_speed
height,150,150,10,0,10,80
2010-01-01 00:00:00+01:00,98405.7,267.6,64.9,0.15,267.57,69.4
2010-01-01 00:00:01+01:00,98382.7,267.6,64.75,0.15,267.55,69.3
2010-01-01 00:00:02+01:00,98362.9,267.61,64.6,0.15,267.54,69.2
2010-01-01 00:00:03+01:00,98340.9,267.63,64.45,0.15,267.56,69.1
2010-01-01 00:00:04+01:00,98336.8,267.63,64.3,0.15,267.61,69
2010-01-01 00:00:05+01:00,98334.2,267.61,64.15,0.15,267.55,68.9
2010-01-01 00:00:06+01:00,98324.6,267.55,64,0.15,267.52,68.8
2010-01-01 00:00:07+01:00,98345.1,267.51,63.85,0.15,267.46,68.7
2010-01-01 00:00:08+01:00,98394.9,267.48,63.7,0.15,267.45,68.6
2010-01-01 00:00:09+01:00,98446.6,267.67,63.55,0.15,267.6,68.5
2010-01-01 00:00:10+01:00,98486,267.95,63.4,0.15,267.88,68.4
2010-01-01 00:00:11+01:00,98568,268.27,63.25,0.15,268.19,68.3
2010-01-01 00:00:12+01:00,98609.2,268.49,63.1,0.15,268.46,68.2
2010-01-01 00:00:13+01:00,98716.8,268.61,62.95,0.15,268.53,68.1
2010-01-01 00:00:14+01:00,98834.5,268.56,62.8,0.15,268.48,68
2010-01-01 00:00:15+01:00,98911.4,268.38,62.65,0.15,268.35,67.9
2010-01-01 00:00:16+01:00,98999,268.22,62.5,0.15,268.15,67.8
2010-01-01 00:00:17+01:00,99083,268.11,62.35,0.15,268.07,67.7
2010-01-01 00:00:18+01:00,99166.6,267.98,62.2,0.15,267.9,67.6
2010-01-01 00:00:19+01:00,99249.6,267.8,62.05,0.15,267.75,67.5
2010-01-01 00:00:20+01:00,99299.1,267.44,61.9,0.15,267.38,67.4
2010-01-01 00:00:21+01:00,99355,266.96,61.75,0.15,266.92,67.3
2010-01-01 00:00:22+01:00,99414.6,266.48,61.6,0.15,266.45,67.2
2010-01-01 00:00:23+01:00,99489.6,266.09,61.45,0.15,266.03,67.1
2010-01-01 00:00:24+01:00,99571.5,265.77,61.3,0.15,265.72,67
2010-01-01 00:00:25+01:00,99650.6,265.5,61.15,0.15,265.47,66.9
2010-01-01 00:00:26+01:00,99725.8,265.17,61,0.15,265.1,66.8
2010-01-01 00:00:27+01:00,99808.4,264.52,60.85,0.15,264.48,66.7
2010-01-01 00:00:28+01:00,99902.3,263.77,60.7,0.15,263.74,66.6
2010-01-01 00:00:29+01:00,99984,262.95,60.55,0.15,262.88,66.5
2010-01-01 00:00:30+01:00,100051,262.39,60.4,0.15,262.36,66.4
2010-01-01 00:00:31+01:00,100127,261.87,60.25,0.15,261.83,66.3
2010-01-01 00:00:32+01:00,100213,261.44,60.1,0.15,261.4,66.2
2010-01-01 00:00:33+01:00,100301,261.65,59.95,0.15,261.62,66.1
2010-01-01 00:00:34+01:00,100361,261.92,59.8,0.15,261.89,66
2010-01-01 00:00:35+01:00,100411,262.18,59.65,0.15,262.13,65.9
2010-01-01 00:00:36+01:00,100456,262.4,59.5,0.15,262.34,65.8
2010-01-01 00:00:37+01:00,100502,262.39,59.35,0.15,262.35,65.7
2010-01-01 00:00:38+01:00,100544,262.11,59.2,0.15,262.04,65.6
2010-01-01 00:00:39+01:00,100588,261.71,59.05,0.15,261.65,65.5
2010-01-01 00:00:40+01:00,100623,261.44,58.9,0.15,261.41,65.4
2010-01-01 00:00:41+01:00,100659,261.92,58.75,0.15,261.87,65.3
2010-01-01 00:00:42+01:00,100681,262.12,58.6,0.15,262.06,65.2
2010-01-01 00:00:43+01:00,100680,262.12,58.45,0.15,262.08,65.1
2010-01-01 00:00:44+01:00,100665,262.11,58.3,0.15,262.07,65
2010-01-01 00:00:45+01:00,100666,263.05,58.15,0.15,263,64.9
2010-01-01 00:00:46+01:00,100671,263.87,58,0.15,263.84,64.8
2010-01-01 00:00:47+01:00,100673,264.67,57.85,0.15,264.64,64.7
2010-01-01 00:00:48+01:00,100667,265.4,57.7,0.15,265.33,64.6
2010-01-01 00:00:49+01:00,100665,266.02,57.55,0.15,265.99,64.5
2010-01-01 00:00:50+01:00,100680,266.43,57.4,0.15,266.38,64.4
2010-01-01 00:00:51+01:00,100679,266.7,57.25,0.15,266.65,64.3
2010-01-01 00:00:52+01:00,100674,266.92,57.1,0.15,266.87,64.2
2010-01-01 00:00:53+01:00,100665,267.08,56.95,0.15,267.02,64.1
2010-01-01 00:00:54+01:00,100661,267.25,56.8,0.15,267.22,64
2010-01-01 00:00:55+01:00,100659,267.42,56.65,0.15,267.34,63.9
2010-01-01 00:00:56+01:00,100658,267.55,56.5,0.15,267.48,63.8
2010-01-01 00:00:57+01:00,100660,268.08,56.35,0.15,268.01,63.7
2010-01-01 00:00:58+01:00,100694,268.45,56.2,0.15,268.41,63.6
2010-01-01 00:00:59+01:00,100735,268.53,56.05,0.15,268.51,63.5
2010-01-01 00:01:00+01:00,100768,268.44,55.9,0.15,268.38,63.4
2010-01-01 00:01:01+01:00,100796,268.23,55.75,0.15,268.18,63.3
2010-01-01 00:01:02+01:00,100837,267.75,55.6,0.15,267.71,63.2
2010-01-01 00:01:03+01:00,100866,266.4,55.45,0.15,266.32,63.1
2010-01-01 00:01:04+01:00,100887,264.81,55.3,0.15,264.76,63
2010-01-01 00:01:05+01:00,100918,263.67,55.15,0.15,263.63,62.9
2010-01-01 00:01:06+01:00,100952,262.72,55,0.15,262.68,62.8
2010-01-01 00:01:07+01:00,100985,262,54.85,0.15,261.97,62.7
2010-01-01 00:01:08+01:00,100994,261.32,54.7,0.15,261.25,62.6
2010-01-01 00:01:09+01:00,101000,260.86,54.55,0.15,260.83,62.5
2010-01-01 00:01:10+01:00,101008,260.51,54.4,0.15,260.44,62.4
2010-01-01 00:01:11+01:00,101029,260.2,54.25,0.15,260.13,62.3
2010-01-01 00:01:12+01:00,101045,259.9,54.1,0.15,259.84,62.2
2010-01-01 00:01:13+01:00,101052,259.62,53.95,0.15,259.57,62.1
2010-01-01 00:01:14+01:00,101037,259.45,53.8,0.15,259.37,62
2010-01-01 00:01:15+01:00,100998,259.31,53.65,0.15,259.28,61.9
2010-01-01 00:01:16+01:00,100954,259.15,53.5,0.15,259.13,61.8
2010-01-01 00:01:17+01:00,100920,259.09,53.35,0.15,259.06,61.7
2010-01-01 00:01:18+01:00,100881,259.01,53.2,0.15,258.97,61.6
2010-01-01 00:01:19+01:00,100838,258.6,53.05,0.15,258.52,61.5
2010-01-01 00:01:20+01:00,100787,258.5,52.9,0.15,258.46,61.4
2010-01-01 00:01:21+01:00,100757,258.92,52.75,0.15,258.84,61.3
2010-01-01 00:01:22+01:00,100724,259.61,52.6,0.15,259.57,61.2
2010-01-01 00:01:23+01:00,100683,260.35,52.45,0.15,260.28,61.1
2010-01-01 00:01:24+01:00,100647,260.87,52.3,0.15,260.81,61
2010-01-01 00:01:25+01:00,100616,261.02,52.15,0.15,260.97,60.9
2010-01-01 00:01:26+01:00,100589,260.77,52,0.15,260.72,60.8
2010-01-01 00:01:27+01:00,100554,260.26,51.85,0.15,260.21,60.7
2010-01-01 00:01:28+01:00,100512,259.74,51.7,0.15,259.71,60.6
2010-01-01 00:01:29+01:00,100467,259.48,51.55,0.15,259.41,60.5
2010-01-01 00:01:30+01:00,100431,259.34,51.4,0.15,259.29,60.4
2010-01-01 00:01:31+01:00,100399,259.27,51.25,0.15,259.2,60.3
2010-01-01 00:01:32+01:00,100364,259.22,51.1,0.15,259.19,60.2
2010-01-01 00:01:33+01:00,100326,259.2,50.95,0.15,259.12,60.1
2010-01-01 00:01:34+01:00,100291,259.2,50.8,0.15,259.13,60
2010-01-01 00:01:35+01:00,100256,259.23,50.65,0.15,259.18,59.9
2010-01-01 00:01:36+01:00,100220,259.34,50.5,0.15,259.3,59.8
2010-01-01 00:01:37+01:00,100181,259.51,50.35,0.15,259.49,59.7
2010-01-01 00:01:38+01:00,100140,260.18,50.2,0.15,260.12,59.6
2010-01-01 00:01:39+01:00,100091,259.94,50.05,0.15,259.86,59.5
2010-01-01 00:01:40+01:00,100042,259.72,49.9,0.15,259.69,59.4
2010-01-01 00:01:41+01:00,99998.2,259.57,49.75,0.15,259.51,59.3
2010-01-01 00:01:42+01:00,99948.1,259.44,49.6,0.15,259.38,59.2
2010-01-01 00:01:43+01:00,99886.7,259.2,49.45,0.15,259.13,59.1
2010-01-01 00:01:44+01:00,99818.8,258.91,49.3,0.15,258.83,59
2010-01-01 00:01:45+01:00,99756.1,259.34,49.15,0.15,259.28,58.9
2010-01-01 00:01:46+01:00,99696.6,259.88,49,0.15,259.86,58.8
2010-01-01 00:01:47+01:00,99642.5,260.47,48.85,0.15,260.45,58.7
2010-01-01 00:01:48+01:00,99582.7,260.97,1.22238,0.15,260.89,3.94238
2010-01-01 00:01:49+01:00,99521.3,261.13,1.05889,0.15,261.09,3.51889
2010-01-01 00:01:50+01:00,99471.2,260.83,1.27001,0.15,260.76,4.39001
2010-01-01 00:01:51+01:00,99432.7,260.21,1.55222,0.15,260.18,3.79222
2010-01-01 00:01:52+01:00,99403.5,259.62,1.70032,0.15,259.58,4.35032
2010-01-01 00:01:53+01:00,99363.6,259.21,1.75863,0.15,259.18,4.82863
2010-01-01 00:01:54+01:00,99323.1,258.96,1.6418,0.15,258.89,3.8618
2010-01-01 00:01:55+01:00,99287.1,258.82,1.43202,0.15,258.74,4.45202
2010-01-01 00:01:56+01:00,99238.3,258.68,1.39284,0.15,258.63,4.00284
2010-01-01 00:01:57+01:00,99190.8,258.59,1.30528,0.15,258.54,4.41528
2010-01-01 00:01:58+01:00,99160.1,258.57,1.14158,0.15,258.53,4.22158
2010-01-01 00:01:59+01:00,99141.2,258.65,1.10291,0.15,258.58,3.62291
2010-01-01 00:02:00+01:00,99130.9,258.84,1.17376,0.15,258.81,3.45376
2010-01-01 00:02:01+01:00,99127.4,259.23,1.19974,0.15,259.15,3.46974
2010-01-01 00:02:02+01:00,99128.5,260.38,1.28662,0.15,260.33,3.69662
2010-01-01 00:02:03+01:00,99105.7,260.26,1.54882,0.15,260.22,4.32882
2010-01-01 00:02:04+01:00,99078.1,260.45,1.52977,0.15,260.38,3.88977
2010-01-01 00:02:05+01:00,99053.5,260.69,1.36668,0.15,260.66,3.51668
2010-01-01 00:02:06+01:00,99026.5,260.94,1.29679,0.15,260.87,3.69679
2010-01-01 00:02:07+01:00,99013.7,261.14,1.3055,0.15,261.11,3.4855
2010-01-01 00:02:08+01:00,99011.7,261.43,1.37923,0.15,261.4,4.07923
2010-01-01 00:02:09+01:00,99009.9,262.28,1.54701,0.15,262.23,4.61701
2010-01-01 00:02:10+01:00,99006.6,263.17,1.76222,0.15,263.15,4.50222
2010-01-01 00:02:11+01:00,99010.4,264.24,1.76356,0.15,264.2,4.30356
2010-01-01 00:02:12+01:00,99021,264.87,1.84786,0.15,264.79,4.62786
2010-01-01 00:02:13+01:00,99024.8,265.43,1.78025,0.15,265.36,4.83025
2010-01-01 00:02:14+01:00,99031.5,265.59,1.7179,0.15,265.54,4.3379
2010-01-01 00:02:15+01:00,99059.4,265.32,1.51743,0.15,265.25,4.36743
2010-01-01 00:02:16+01:00,99097.8,264.86,1.53535,0.15,264.82,3.98535
2010-01-01 00:02:17+01:00,99133.4,264.74,1.62984,0.15,264.69,3.83984
2010-01-01 00:02:18+01:00,99161,264.57,1.761,0.15,264.49,4.031
2010-01-01 00:02:19+01:00,99187.2,264.34,1.74418,0.15,264.31,4.78418
2010-01-01 00:02:20+01:00,99211.3,264.1,1.68012,0.15,264.03,4.21012
2010-01-01 00:02:21+01:00,99242.4,263.9,1.72892,0.15,263.83,3.97892
2010-01-01 00:02:22+01:00,99275.1,263.84,1.85373,0.15,263.8,3.99373
2010-01-01 00:02:23+01:00,99323.4,263.39,1.96994,0.15,263.37,5.01994
2010-01-01 00:02:24+01:00,99375.6,263.18,2.00784,0.15,263.1,4.17784
2010-01-01 00:02:25+01:00,99430.9,262.97,1.96784,0.15,262.94,4.18784
2010-01-01 00:02:26+01:00,99490.4,262.83,1.99643,0.15,262.75,4.91643
2010-01-01 00:02:27+01:00,99552.1,263.02,2.05974,0.15,262.97,4.69974
2010-01-01 00:02:28+01:00,99597.5,263.04,2.07034,0.15,262.98,4.26034
2010-01-01 00:02:29+01:00,99622.7,262.99,2.15834,0.15,262.94,5.01834
2010-01-01 00:02:30+01:00,99639.7,262.63,2.2539,0.15,262.6,5.2739
2010-01-01 00:02:31+01:00,99656.9,262.4,2.41636,0.15,262.34,4.74636
2010-01-01 00:02:32+01:00,99683.7,262.09,2.61055,0.15,262.04,5.60055
2010-01-01 00:02:33+01:00,99716.4,262.12,2.748,0.15,262.06,5.038
2010-01-01 00:02:34+01:00,99754.7,262.07,2.89715,0.15,261.99,5.87715
2010-01-01 00:02:35+01:00,99811.4,262.25,3.11852,0.15,262.21,5.31852
2010-01-01 00:02:36+01:00,99872,262.57,3.38681,0.15,262.5,5.69681
2010-01-01 00:02:37+01:00,99938.9,262.9,3.44846,0.15,262.84,5.67846
2010-01-01 00:02:38+01:00,100028,262.74,3.35454,0.15,262.7,5.60454
2010-01-01 00:02:39+01:00,100104,262.33,3.2911,0.15,262.25,6.1611
2010-01-01 00:02:40+01:00,100162,262.36,3.24902,0.15,262.33,5.39902
2010-01-01 00:02:41+01:00,100217,262.56,3.33863,0.15,262.52,6.18863
2010-01-01 00:02:42+01:00,100274,262.87,3.52378,0.15,262.83,5.78378
2010-01-01 00:02:43+01:00,100330,263.15,3.60297,0.15,263.07,6.39297
2010-01-01 00:02:44+01:00,100380,263.8,3.53191,0.15,263.78,6.28191
2010-01-01 00:02:45+01:00,100434,264.23,3.25355,0.15,264.16,6.00355
2010-01-01 00:02:46+01:00,100497,264.56,2.85047,0.15,264.49,5.34047
2010-01-01 00:02:47+01:00,100557,264.95,2.27388,0.15,264.9,5.34388
2010-01-01 00:02:48+01:00,100617,265.27,1.75136,0.15,265.24,4.57136
2010-01-01 00:02:49+01:00,100670,265.38,1.20631,0.15,265.31,3.83631
2010-01-01 00:02:50+01:00,100745,265.41,0.845946,0.15,265.36,3.815946
2010-01-01 00:02:51+01:00,100773,265.34,1.70434,0.15,265.27,3.91434
2010-01-01 00:02:52+01:00,100819,265.29,1.9802,0.15,265.23,4.7202
2010-01-01 00:02:53+01:00,100846,265.19,2.40716,0.15,265.11,5.37716
2010-01-01 00:02:54+01:00,100854,265.17,2.79641,0.15,265.1,5.91641
